Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
59,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-220,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0,1.5,2,8,17,0.27,0,0.27,0.27,0.27,0.39,0.01,0.4,0.39,0.4,Matches,834d0be5
60,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-056,1989,22,12,1249,13.9,2,3,5,2,0,0,6,1,0.7,0.7,5.9,6.6,37,126,139,0.14,0.22,0.36,0.14,0.36,0.05,0.43,0.48,0.05,0.48,Matches,4.60E+197
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-230,1992,32,24,2173,24.1,5,6,11,4,1,2,3,0,4.2,2.5,5.8,8.3,65,213,82,0.21,0.25,0.46,0.17,0.41,0.17,0.24,0.41,0.1,0.34,Matches,5294a83f
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-254,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0,0.1,12,100,3,0,0,0,0,0,0,0,0.01,0,0.01,Matches,4bd414c1
63,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-179,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32-035,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,Matches,77e84962
65,Carlos Alcaraz,ar ARG,MFFW,Southampton,eng Premier League,20-167,2002,16,11,869,9.7,4,1,5,4,0,0,2,0,1.6,1.6,0.5,2.1,13,22,29,0.41,0.1,0.52,0.41,0.52,0.16,0.06,0.22,0.16,0.22,Matches,4abac767
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-015,1991,28,20,1848,20.5,3,0,3,1,2,2,9,1,3,1.4,1.2,2.6,23,91,19,0.15,0,0.15,0.05,0.05,0.15,0.06,0.21,0.07,0.13,Matches,036bba5f
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-141,1996,21,19,1700,18.9,0,1,1,0,0,0,9,0,0.5,0.5,0.8,1.3,21,82,8,0,0.05,0.05,0,0.05,0.03,0.04,0.07,0.03,0.07,Matches,bb08bce9
68,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-095,1995,28,12,1174,13,0,1,1,0,0,0,12,1,1,1,2.4,3.4,46,14,98,0,0.08,0.08,0,0.08,0.07,0.19,0.26,0.07,0.26,Matches,3d7e48ce
69,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-199,2002,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9e17ccff
70,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-131,1998,32,23,1910,21.2,2,2,4,2,0,0,11,1,2.1,2.1,1.6,3.7,22,83,74,0.09,0.09,0.19,0.09,0.19,0.1,0.08,0.18,0.1,0.18,Matches,6c811eb7
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-221,1998,35,32,2743,30.5,2,8,10,2,0,0,4,0,2.1,2.1,10,12.1,40,215,129,0.07,0.26,0.33,0.07,0.33,0.07,0.33,0.4,0.07,0.4,Matches,cd1acf9d
72,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-335,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b907d169
73,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-327,1999,24,11,1122,12.5,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,41,11,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,acc1aefa
74,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-117,2004,16,4,491,5.5,0,2,2,0,0,0,1,0,1.4,1.4,1.5,2.9,28,5,55,0,0.37,0.37,0,0.37,0.25,0.28,0.53,0.25,0.53,Matches,f8405304
75,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-302,2001,15,0,182,2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0,0.49,0.49,0,0.49,0.05,0.24,0.28,0.05,0.28,Matches,00f518d8
76,Alisson,br BRA,GK,Liverpool,eng Premier League,30-226,1992,36,36,3240,36,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,3,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches,7a2e46a8
77,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-078,1995,33,24,2117,23.5,1,1,2,1,0,0,2,0,2.5,2.5,2,4.5,79,56,133,0.04,0.04,0.09,0.04,0.09,0.11,0.09,0.19,0.11,0.19,Matches,1956b948
78,Dele Alli,eng ENG,MF,Everton,eng Premier League,27-035,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,cea4ee8f
79,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-351,2000,30,25,2187,24.3,2,4,6,2,0,0,3,0,1,1,2.9,3.9,61,166,59,0.08,0.16,0.25,0.08,0.25,0.04,0.12,0.16,0.04,0.16,Matches,e6697917
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-095,1994,31,26,2225,24.7,11,1,12,11,0,0,2,0,6.4,6.4,1.8,8.2,65,113,234,0.44,0.04,0.49,0.44,0.49,0.26,0.07,0.33,0.26,0.33,Matches,862a1c15
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-139,1990,20,9,937,10.4,1,0,1,1,0,0,2,0,0.9,0.9,0.3,1.1,18,61,4,0.1,0,0.1,0.1,0.1,0.08,0.03,0.11,0.08,0.11,Matches,f4290206
82,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-308,1989,25,13,1299,14.4,0,0,0,0,0,0,2,0,0.5,0.5,0.7,1.2,29,47,34,0,0,0,0,0,0.04,0.05,0.08,0.04,0.08,Matches,0a63446f
83,Éder Álvarez Balanta,co COL,MFFW,Schalke 04,de Bundesliga,30-077,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches,8ce30c57
84,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-283,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,Matches,629081bd
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-053,2000,18,12,1163,12.9,2,0,2,2,0,0,6,1,0.5,0.5,0.2,0.7,7,29,24,0.15,0,0.15,0.15,0.15,0.04,0.02,0.05,0.04,0.05,Matches,852ddfb8
86,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-105,2000,28,11,1251,13.9,8,0,8,7,1,1,0,0,6.2,5.5,1.5,6.9,32,35,84,0.58,0,0.58,0.5,0.5,0.45,0.11,0.56,0.39,0.5,Matches,15ab5a2b
87,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-362,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.1,0.46,0.36,0.46,Matches,ab472696
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-112,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches,3ecc11d8
89,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,30-040,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches,9260926b
90,Selim Amallah,ma MAR,MFFW,Valladolid,es La Liga,26-182,1996,7,3,267,3,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38,Matches,00eba9c9
91,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-146,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches,1a4ef233
92,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-304,1996,25,9,1079,12,2,0,2,2,0,0,2,0,2.5,2.5,0.8,3.3,29,16,61,0.17,0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,Matches,f3b1d9a2
93,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-068,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,Matches,22721b88
94,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-345,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cd682b6b
95,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-097,1998,28,24,2194,24.4,0,1,1,0,0,0,5,0,2.7,2.7,2.1,4.8,53,96,69,0,0.04,0.04,0,0.04,0.11,0.09,0.2,0.11,0.2,Matches,bcc81786
96,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-133,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2df7cc43
97,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-133,2002,23,23,1930,21.4,1,1,2,1,0,0,10,1,0.7,0.7,0.6,1.3,11,54,9,0.05,0.05,0.09,0.05,0.09,0.03,0.03,0.06,0.03,0.06,Matches,2df7cc43
98,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-201,1996,23,8,881,9.8,4,1,5,3,1,1,5,0,1.7,0.9,1,1.9,26,53,28,0.41,0.1,0.51,0.31,0.41,0.18,0.1,0.28,0.1,0.2,Matches,555d5edd
99,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-244,2000,28,28,2395,26.6,0,1,1,0,0,0,10,1,1,1,1.1,2.1,24,118,10,0,0.04,0.04,0,0.04,0.04,0.04,0.08,0.04,0.08,Matches,10b9fa99
100,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-268,1996,28,23,1917,21.3,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36,175,24,0,0.05,0.05,0,0.05,0.02,0.05,0.07,0.02,0.07,Matches,5a2cb25d
101,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,19-002,2004,5,3,279,3.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,6,13,18,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,ae11ba3d
102,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-350,1996,30,30,2602,28.9,1,0,1,1,0,0,8,0,1.8,1.8,1.1,2.9,8,89,7,0.03,0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1,Matches,e34fc66d
103,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,eng Premier League,20-191,2002,19,1,228,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.7,18,14,22,0,0,0,0,0,0.36,0.32,0.68,0.36,0.68,Matches,de31038e
104,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-031,1993,35,33,2792,31,9,2,11,9,0,0,2,0,6,6,4.7,10.6,79,109,211,0.29,0.06,0.35,0.29,0.35,0.19,0.15,0.34,0.19,0.34,Matches,9f1893b9
105,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-286,1990,31,30,2646,29.4,1,1,2,1,0,0,10,0,1.5,1.5,1.8,3.3,34,270,43,0.03,0.03,0.07,0.03,0.07,0.05,0.06,0.11,0.05,0.11,Matches,ef9c1c95
106,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-319,1995,31,16,1416,15.7,4,3,7,3,1,2,4,0,5.5,3.9,0.9,4.8,8,26,87,0.25,0.19,0.44,0.19,0.38,0.35,0.06,0.4,0.25,0.3,Matches,af3ddb2e
107,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-236,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12,99,8,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,Matches,e0b113a7
108,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-132,1997,31,28,2437,27.1,0,7,7,0,0,0,2,0,1.1,1.1,6.7,7.8,23,103,116,0,0.26,0.26,0,0.26,0.04,0.25,0.29,0.04,0.29,Matches,3.09E+100
109,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-062,1994,13,7,579,6.4,0,0,0,0,0,0,2,1,0.1,0.1,0,0.1,4,16,13,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,fdd26d71
110,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-166,1999,28,10,1159,12.9,3,1,4,3,0,0,2,0,2.2,2.2,1,3.3,29,47,69,0.23,0.08,0.31,0.23,0.31,0.17,0.08,0.26,0.17,0.26,Matches,e4238fb1
111,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-271,2002,2,0,52,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,1,2,1.73,0,1.73,1.73,1.73,0.31,0,0.31,0.31,0.31,Matches,38d9ce53
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-300,1996,32,32,2754,30.6,1,2,3,1,0,0,4,0,1.6,1.6,1.4,3,51,128,52,0.03,0.07,0.1,0.03,0.1,0.05,0.05,0.1,0.05,0.1,Matches,5e66fa06
113,José Antonio,es ESP,MF,Cádiz,es La Liga,18-292,2004,1,0,19,0.2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,4.74,4.74,0,4.74,0,0.07,0.07,0,0.07,Matches,62a583ee
114,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-337,2000,16,6,593,6.6,1,1,2,1,0,0,2,0,1.2,1.2,0.3,1.5,1,25,8,0.15,0.15,0.3,0.15,0.3,0.18,0.04,0.23,0.18,0.23,Matches,108fe016
115,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-049,1990,32,20,1768,19.6,5,3,8,5,0,0,2,0,6.4,6.4,1.3,7.7,45,27,114,0.25,0.15,0.41,0.25,0.41,0.33,0.06,0.39,0.33,0.39,Matches,ac05f970
116,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-081,2000,23,21,1689,18.8,4,2,6,4,0,0,5,0,6.4,6.4,2.8,9.2,87,70,154,0.21,0.11,0.32,0.21,0.32,0.34,0.15,0.49,0.34,0.49,Matches,99127249
117,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-188,2000,8,2,296,3.3,0,0,0,0,0,0,2,0,0,0,0,0,2,14,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,8f68aa41
